"Gene ID","source_id","Organism","Genomic Location (Gene)","Product Description","Gene Type","Input ID"
"Tb927.5.4350","Tb927.5.4350:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,353,612..1,354,985(-)","Nudix hydrolase 2","protein coding","Tb927.5.4350"
"Tb927.5.4360","Tb927.5.4360:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,355,366..1,356,350(-)","hypothetical protein, conserved","protein coding","Tb927.5.4360"
"Tb927.5.4370","Tb927.5.4370:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,356,477..1,357,010(-)","hypothetical protein, conserved","protein coding","Tb927.5.4370"
"Tb927.5.4380","Tb927.5.4380:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,357,568..1,362,572(-)","Kinetoplastid-specific Protein Phosphatase 1","protein coding","Tb927.5.4380"
"Tb927.5.4390","Tb927.5.4390:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,363,428..1,363,884(-)","hypothetical protein, conserved","protein coding","Tb927.5.4390"
"Tb927.5.440","Tb927.5.440:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:191,706..194,549(-)","trans-sialidase, putative","protein coding","Tb927.5.440"
"Tb927.5.4400","Tb927.5.4400:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,364,291..1,365,700(-)","hypothetical protein, conserved","protein coding","Tb927.5.4400"
"Tb927.5.4410","Tb927.5.4410:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,365,870..1,366,611(-)","hypothetical protein, conserved","protein coding","Tb927.5.4410"
"Tb927.5.4420","Tb927.5.4420:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,366,776..1,369,203(-)","nucleolar RNA helicase II, putative","protein coding","Tb927.5.4420"
"Tb927.5.4430","Tb927.5.4430:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,369,425..1,371,059(-)","calcium/calmodulin-dependent protein kinase, putative","protein coding","Tb927.5.4430"
"Tb927.5.4440","Tb927.5.4440:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,371,202..1,371,779(-)","dynein light chain, putative","protein coding","Tb927.5.4440"
"Tb927.5.4450","Tb927.5.4450:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,371,940..1,373,109(-)","hypothetical protein, conserved","protein coding","Tb927.5.4450"
"Tb927.5.4460","Tb927.5.4460:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,373,484..1,377,009(-)","major vault protein, putative","protein coding","Tb927.5.4460"
"Tb927.5.4470","Tb927.5.4470:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,376,554..1,380,238(-)","hypothetical protein, conserved","protein coding","Tb927.5.4470"
"Tb927.5.4480","Tb927.5.4480:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,380,372..1,382,458(-)","paraflagellar rod component par4, putative","protein coding","Tb927.5.4480"
"Tb927.5.4490","Tb927.5.4490:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,382,737..1,383,162(-)","hypothetical protein, conserved","protein coding","Tb927.5.4490"
"Tb927.5.450","Tb927.5.450:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:196,546..198,750(-)","NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial","protein coding","Tb927.5.450"
"Tb927.5.4500","Tb927.5.4500:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,383,439..1,384,067(-)","ras-like small GTPase, putative","protein coding","Tb927.5.4500"
"Tb927.5.4510","Tb927.5.4510:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,384,224..1,384,694(-)","hypothetical protein, conserved","protein coding","Tb927.5.4510"
"Tb927.5.4520","Tb927.5.4520:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,384,812..1,387,751(-)","Kinetochore interacting protein 1","protein coding","Tb927.5.4520"
"Tb927.5.4530","Tb927.5.4530:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,387,861..1,388,754(-)","Long chain fatty acyl elongase","protein coding","Tb927.5.4530"
"Tb927.5.4535","Tb927.5.4535:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,389,219..1,389,394(-)","hypothetical protein","protein coding","NTCDS.Tb5.NT.87"
"Tb927.5.4540","Tb927.5.4540:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,396,894..1,404,644(+)","receptor-type adenylate cyclase GRESAG 4, putative","protein coding","Tb927.5.4540"
"Tb927.5.4550","Tb927.5.4550:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,402,701..1,408,563(+)","receptor-type adenylate cyclase GRESAG 4, putative","protein coding","Tb927.5.4550"
"Tb927.5.4560","Tb927.5.4560:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,410,659..1,413,260(+)","guanine deaminase, putative","protein coding","Tb927.5.4560"
"Tb927.5.4570","Tb927.5.4570:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,413,368..1,416,123(+)","Flagellum adhesion protein 3","protein coding","Tb927.5.4570"
"Tb927.5.4575","Tb927.5.4575:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,417,275..1,417,590(+)","hypothetical protein","protein coding","NTCDS.Tb5.NT.92"
"Tb927.5.4580","Tb927.5.4580:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,418,107..1,423,190(+)","Flagellum adhesion protein 3","protein coding","Tb927.5.4580"
"Tb927.5.4590","Tb927.5.4590:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,423,960..1,424,904(+)","small GTP-binding rab protein, pseudogene, putative","protein coding","Tb927.5.4590"
"Tb927.5.460","Tb927.5.460:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:198,569..200,156(-)","hypothetical protein, conserved","protein coding","Tb927.5.460"
"Tb927.5.4600","Tb927.5.4600:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,425,297..1,426,529(+)","expression site-associated gene 3 (ESAG3) protein, putative","protein coding","Tb927.5.4600"
"Tb927.5.4610","Tb927.5.4610:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,431,158..1,432,220(+)","variant surface glycoprotein-related protein, frameshift","protein coding","Tb927.5.4610"
"Tb927.5.4620","Tb927.5.4620:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,433,202..1,434,133(+)","expression site-associated gene 9 (ESAG9) protein, putative","protein coding","Tb927.5.4620"
"Tb927.5.4630","Tb927.5.4630:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,437,177..1,438,164(+)","expression site-associated gene 1 (ESAG1) protein, putative","protein coding","Tb927.5.4630"
"Tb927.5.4650","Tb927.5.4650:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,443,161..1,444,731(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.4650"
"Tb927.5.4660","Tb927.5.4660:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,444,966..1,446,051(-)","expression site-associated gene 3 (ESAG3), degenerate","protein coding","Tb927.5.4660"
"Tb927.5.4670","Tb927.5.4670:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,447,213..1,448,715(-)","variant surface glycoprotein (VSG, atypical), putative","protein coding","Tb927.5.4670"
"Tb927.5.4680","Tb927.5.4680:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,450,332..1,451,753(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.4680"
"Tb927.5.4690","Tb927.5.4690:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,453,169..1,454,669(-)","variant surface glycoprotein (VSG, atypical), putative","protein coding","Tb927.5.4690"
"Tb927.5.470","Tb927.5.470:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:202,055..204,725(-)","riboflavin transporter","protein coding","Tb927.5.470"
"Tb927.5.4700","Tb927.5.4700:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,457,447..1,458,781(-)","variant surface glycoprotein, point mutation","protein coding","Tb927.5.4700"
"Tb927.5.4710","Tb927.5.4710:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,461,123..1,463,011(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.4710"
"Tb927.5.4720","Tb927.5.4720:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,463,176..1,463,925(-)","expression site-associated gene 3 (ESAG3), degenerate","protein coding","Tb927.5.4720"
"Tb927.5.4730","Tb927.5.4730:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,465,342..1,466,796(-)","variant surface glycoprotein (VSG, atypical), putative","protein coding","Tb927.5.4730"
"Tb927.5.4740","Tb927.5.4740:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,467,841..1,469,383(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.4740"
"Tb927.5.4750","Tb927.5.4750:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,477,179..1,478,793(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.4750"
"Tb927.5.4760","Tb927.5.4760:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,479,197..1,480,230(-)","expression site-associated gene 3 (ESAG3), degenerate","protein coding","Tb927.5.4760"
"Tb927.5.4770","Tb927.5.4770:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,480,793..1,483,049(-)","variant surface glycoprotein (VSG), putative","protein coding","Tb927.5.4770"
"Tb927.5.4780","Tb927.5.4780:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,485,207..1,491,522(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.4780"
"Tb927.5.4790","Tb927.5.4790:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,491,816..1,494,039(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.4790"
"Tb927.5.480","Tb927.5.480:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:205,146..207,802(-)","hypothetical protein, conserved","protein coding","Tb927.5.480"
"Tb927.5.4800","Tb927.5.4800:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,494,226..1,494,801(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.4800"
"Tb927.5.4810","Tb927.5.4810:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,496,809..1,504,065(-)","variant surface glycoprotein (VSG, atypical), putative","protein coding","Tb927.5.4810"
"Tb927.5.4820","Tb927.5.4820:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,506,811..1,508,337(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.4820"
"Tb927.5.4830","Tb927.5.4830:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,510,530..1,512,035(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.4830"
"Tb927.5.4840","Tb927.5.4840:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,513,619..1,515,076(-)","variant surface glycoprotein (VSG, atypical), putative","protein coding","Tb927.5.4840"
"Tb927.5.4850","Tb927.5.4850:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,516,971..1,518,492(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.4850"
"Tb927.5.4860","Tb927.5.4860:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,518,837..1,519,931(-)","expression site-associated gene 3 (ESAG3), degenerate","protein coding","Tb927.5.4860"
"Tb927.5.4870","Tb927.5.4870:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,520,566..1,521,922(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.4870"
"Tb927.5.4880","Tb927.5.4880:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,523,433..1,525,327(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.4880"
"Tb927.5.4890","Tb927.5.4890:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,526,410..1,526,733(-)","variant surface glycoprotein, truncated, degenerate","protein coding","Tb927.5.4890"
"Tb927.5.490","Tb927.5.490:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:208,089..211,778(-)","methyltransferase, putative","protein coding","Tb927.5.490"
"Tb927.5.4900","Tb927.5.4900:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,527,629..1,529,082(-)","variant surface glycoprotein, frameshift","protein coding","Tb927.5.4900"
"Tb927.5.4910","Tb927.5.4910:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,531,350..1,533,086(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.4910"
"Tb927.5.4920","Tb927.5.4920:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,534,161..1,535,663(-)","variant surface glycoprotein, point mutation","protein coding","Tb927.5.4920"
"Tb927.5.4930","Tb927.5.4930:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,537,920..1,539,365(-)","variant surface glycoprotein, point mutation","protein coding","Tb927.5.4930"
"Tb927.5.4940","Tb927.5.4940:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,541,367..1,542,768(-)","variant surface glycoprotein, frameshift","protein coding","Tb927.5.4940"
"Tb927.5.4950","Tb927.5.4950:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,550,034..1,551,635(-)","variant surface glycoprotein (VSG, atypical), putative","protein coding","Tb927.5.4950"
"Tb927.5.4960","Tb927.5.4960:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,553,501..1,554,944(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.4960"
"Tb927.5.4970","Tb927.5.4970:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,556,955..1,558,455(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.4970"
"Tb927.5.4980","Tb927.5.4980:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,560,053..1,561,539(-)","variant surface glycoprotein, frameshift","protein coding","Tb927.5.4980"
"Tb927.5.4990","Tb927.5.4990:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,564,291..1,565,816(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.4990"
"Tb927.5.500","Tb927.5.500:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:212,561..217,492(-)","hypothetical protein, conserved","protein coding","Tb927.5.500"
"Tb927.5.5000","Tb927.5.5000:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,566,987..1,568,481(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.5000"
"Tb927.5.5010","Tb927.5.5010:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,569,593..1,571,092(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.5010"
"Tb927.5.5020","Tb927.5.5020:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,571,225..1,572,271(-)","UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase (pseudogene), putative","protein coding","Tb927.5.5020"
"Tb927.5.5030","Tb927.5.5030:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,573,814..1,574,011(-)","variant surface glycoprotein, truncated","protein coding","Tb927.5.5030"
"Tb927.5.5040","Tb927.5.5040:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,575,019..1,576,638(-)","variant surface glycoprotein, point mutation","protein coding","Tb927.5.5040"
"Tb927.5.5050","Tb927.5.5050:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,577,859..1,579,460(-)","variant surface glycoprotein (VSG, atypical), putative","protein coding","Tb927.5.5050"
"Tb927.5.5060","Tb927.5.5060:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,580,291..1,581,227(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.5060"
"Tb927.5.5070","Tb927.5.5070:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,583,162..1,583,310(-)","variant surface glycoprotein, fragment","protein coding","Tb927.5.5070"
"Tb927.5.5080","Tb927.5.5080:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,584,604..1,586,126(-)","variant surface glycoprotein (VSG), putative","protein coding","Tb927.5.5080"
"Tb927.5.5090","Tb927.5.5090:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,588,024..1,589,564(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.5090"
"Tb927.5.510","Tb927.5.510:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:217,645..219,775(-)","putative succinate dehydrogenase subunit","protein coding","Tb927.5.510"
"Tb927.5.5100","Tb927.5.5100:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,591,707..1,593,134(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.5100"
"Tb927.5.5110","Tb927.5.5110:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,596,077..1,597,588(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.5110"
"Tb927.5.5120","Tb927.5.5120:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,598,747..1,600,271(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.5120"
"Tb927.5.5130","Tb927.5.5130:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,601,690..1,603,292(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.5130"
"Tb927.5.5140","Tb927.5.5140:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,603,456..1,604,553(-)","UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase (pseudogene), putative","protein coding","Tb927.5.5140"
"Tb927.5.5150","Tb927.5.5150:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,605,621..1,607,171(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.5150"
"Tb927.5.5160","Tb927.5.5160:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,608,577..1,610,215(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.5160"
"Tb927.5.5170","Tb927.5.5170:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,611,701..1,613,242(-)","variant surface glycoprotein, point mutation","protein coding","Tb927.5.5170"
"Tb927.5.5180","Tb927.5.5180:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,613,716..1,614,528(-)","UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase (pseudogene), putative","protein coding","Tb927.5.5180"
"Tb927.5.5190","Tb927.5.5190:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,615,777..1,617,246(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.5190"
"Tb927.5.520","Tb927.5.520:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:221,372..223,656(-)","stomatin-like protein, putative","protein coding","Tb927.5.520"
"Tb927.5.5200","Tb927.5.5200:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,617,297..1,618,450(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.5200"
"Tb927.5.5210","Tb927.5.5210:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,619,947..1,621,392(-)","variant surface glycoprotein (VSG, atypical), putative","protein coding","Tb927.5.5210"
"Tb927.5.5220","Tb927.5.5220:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,623,754..1,625,641(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.5220"
"Tb927.5.5230","Tb927.5.5230:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,626,329..1,627,435(-)","expression site-associated gene (ESAG, pseudogene), putative","protein coding","Tb927.5.5230"
"Tb927.5.5240","Tb927.5.5240:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,628,255..1,629,760(-)","variant surface glycoprotein (VSG), putative","protein coding","Tb927.5.5240"
"Tb927.5.5250","Tb927.5.5250:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,630,875..1,631,172(-)","variant surface glycoprotein, fragment, degenerate","protein coding","Tb927.5.5250"
"Tb927.5.5260","Tb927.5.5260:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,631,685..1,633,392(-)","variant surface glycoprotein, point mutation","protein coding","Tb927.5.5260"
"Tb927.5.5270","Tb927.5.5270:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,634,603..1,636,008(-)","variant surface glycoprotein, frameshift","protein coding","Tb927.5.5270"
"Tb927.5.5280","Tb927.5.5280:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,637,475..1,639,048(-)","variant surface glycoprotein, frameshift","protein coding","Tb927.5.5280"
"Tb927.5.5290","Tb927.5.5290:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,640,619..1,642,161(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.5290"
"Tb927.5.530","Tb927.5.530:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:223,790..226,522(-)","hypothetical protein, conserved","protein coding","Tb927.5.530"
"Tb927.5.5300","Tb927.5.5300:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,643,784..1,645,297(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.5300"
"Tb927.5.5310","Tb927.5.5310:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,647,734..1,649,178(-)","variant surface glycoprotein, frameshift","protein coding","Tb927.5.5310"
"Tb927.5.5320","Tb927.5.5320:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,651,500..1,653,035(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.5320"
"Tb927.5.5330","Tb927.5.5330:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,655,040..1,656,582(-)","variant surface glycoprotein, degenerate","protein coding","Tb927.5.5330"
"Tb927.5.5340","Tb927.5.5340:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,656,996..1,657,997(-)","expression site-associated gene (ESAG, pseudogene), putative","protein coding","Tb927.5.5340"
"Tb927.5.5350","Tb927.5.5350:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,659,313..1,662,370(-)","variant surface glycoprotein, truncated","protein coding","Tb927.5.5350"
"Tb927.5.5360","Tb927.5.5360.1","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,665,294..1,665,791(-)","Variant Surface Glycoprotein, putative","protein coding","Tb927.5.5360"
"Tb927.5.5370","Tb927.5.5370.1","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,666,953..1,668,413(-)","Variant Surface Glycoprotein, putative","protein coding","Tb927.5.5370"
"Tb927.5.5380","Tb927.5.5380.1","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,669,559..1,670,983(-)","Variant Surface Glycoprotein, putative","protein coding","Tb927.5.5380"
"Tb927.5.5390","Tb927.5.5390.1","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,672,390..1,674,122(-)","Variant Surface Glycoprotein, putative","protein coding","Tb927.5.5390"
"Tb927.5.540","Tb927.5.540:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:226,524..227,593(-)","hypothetical protein","protein coding","Tb927.5.540"
"Tb927.5.5400","Tb927.5.5400.1","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,677,925..1,679,547(+)","Variant Surface Glycoprotein, putative","protein coding","Tb927.5.5400"
"Tb927.5.5410","Tb927.5.5410.1","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,681,440..1,682,828(+)","Variant Surface Glycoprotein, putative","protein coding","Tb927.5.5410"
"Tb927.5.5420","Tb927.5.5420.1","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,693,597..1,694,949(-)","Variant Surface Glycoprotein, putative","protein coding","Tb927.5.5420"
"Tb927.5.5430","Tb927.5.5430.1","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,697,631..1,699,160(-)","Variant Surface Glycoprotein, putative","protein coding","Tb927.5.5430"
"Tb927.5.5440","Tb927.5.5440.1","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,701,514..1,702,952(-)","Variant Surface Glycoprotein, putative","protein coding","Tb927.5.5440"
"Tb927.5.5450","Tb927.5.5450.1","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,705,006..1,712,562(-)","Variant Surface Glycoprotein, putative","protein coding","Tb927.5.5450"
"Tb927.5.5460","Tb927.5.5460.1","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,713,941..1,715,419(-)","Variant Surface Glycoprotein, putative","protein coding","Tb927.5.5460"
"Tb927.5.5470","Tb927.5.5470.1","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,716,535..1,717,869(-)","Variant Surface Glycoprotein, putative","protein coding","Tb927.5.5470"
"Tb927.5.5480","Tb927.5.5480.1","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,719,965..1,721,488(-)","Variant Surface Glycoprotein, putative","protein coding","Tb927.5.5480"
"Tb927.5.5490","Tb927.5.5490.1","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,724,309..1,725,643(-)","Variant Surface Glycoprotein, putative","protein coding","Tb927.5.5490"
"Tb927.5.550","Tb927.5.550:mRNA","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:228,316..229,739(-)","V-type proton ATPase subunit D, putative","protein coding","Tb927.5.550"
"Tb927.5.5500","Tb927.5.5500.1","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,727,991..1,729,424(-)","Variant Surface Glycoprotein, putative","protein coding","Tb927.5.5500"
"Tb927.5.5510","Tb927.5.5510.1","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,731,932..1,733,473(-)","Variant Surface Glycoprotein, putative","protein coding","Tb927.5.5510"
"Tb927.5.5520","Tb927.5.5520.1","Trypanosoma brucei brucei TREU927","Tb927_05_v5.1:1,735,541..1,737,118(-)","Variant Surface Glycoprotein, putative","protein coding","Tb927.5.5520"
