Tb927.9.13440	Tb927_09_v5.1:2132976..2133162:r	Tb927_09_v5.1:2127479..2128238:r
Tb927.10.3140	Tb927_10_v5.1:819641..819672	Tb927_10_v5.1:821566..821959
Tb927.10.3150	Tb927_10_v5.1:822185..822203	Tb927_10_v5.1:822822..822946
Tb927.10.3160	Tb927_10_v5.1:823126..823230	Tb927_10_v5.1:823624..823788
Tb927.10.3180	Tb927_10_v5.1:826531..826572	Tb927_10_v5.1:827920..828409
Tb927.10.3200	Tb927_10_v5.1:829153..829452	Tb927_10_v5.1:830197..830435
Tb927.10.3210	Tb927_10_v5.1:831422..831504	Tb927_10_v5.1:833191..834150
Tb927.10.3220	Tb927_10_v5.1:834290..834564	Tb927_10_v5.1:835012..836826
Tb927.10.3230	Tb927_10_v5.1:837379..837648	Tb927_10_v5.1:838771..839030
Tb927.10.3260	Tb927_10_v5.1:841270..841482	Tb927_10_v5.1:843595..846133
Tb927.10.3270	Tb927_10_v5.1:846247..846290	Tb927_10_v5.1:846756..847270
Tb927.10.3310	Tb927_10_v5.1:851936..852095	Tb927_10_v5.1:854937..855606
Tb927.10.3320	Tb927_10_v5.1:855741..855746	Tb927_10_v5.1:857418..857607
Tb927.10.3350	Tb927_10_v5.1:864658..864806	Tb927_10_v5.1:866445..868577
Tb927.10.3360	Tb927_10_v5.1:868745..868804	Tb927_10_v5.1:871628..872882
Tb927.10.3390	Tb927_10_v5.1:874243..874378	Tb927_10_v5.1:878198..878687
Tb927.10.3420	Tb927_10_v5.1:883972..884100	Tb927_10_v5.1:884569..887937
Tb927.10.3430	Tb927_10_v5.1:888089..888225	Tb927_10_v5.1:890080..890976
Tb927.10.3470	Tb927_10_v5.1:891103..891234	Tb927_10_v5.1:893662..893981
Tb927.10.3490	Tb927_10_v5.1:896727..897135	Tb927_10_v5.1:899020..899538
Tb927.10.3510	Tb927_10_v5.1:903268..903294	Tb927_10_v5.1:908704..908969
Tb927.10.3520	Tb927_10_v5.1:909895..909982	Tb927_10_v5.1:911183..911842
Tb927.10.3530	Tb927_10_v5.1:912740..912843	Tb927_10_v5.1:913993..915114
Tb927.10.3540	Tb927_10_v5.1:915310..915332	Tb927_10_v5.1:916014..916957
Tb927.10.3550	Tb927_10_v5.1:917909..918006	Tb927_10_v5.1:921178..921724
Tb927.10.3560	Tb927_10_v5.1:921881..921971	Tb927_10_v5.1:923142..924381
Tb927.10.3600	Tb927_10_v5.1:931370..931458	Tb927_10_v5.1:933079..934853
Tb927.10.3630	Tb927_10_v5.1:941399..941893:r	Tb927_10_v5.1:939791..940747:r
Tb927.10.3640	Tb927_10_v5.1:944588..944776:r	Tb927_10_v5.1:942755..943732:r
Tb927.10.3650	Tb927_10_v5.1:950058..950218:r	Tb927_10_v5.1:944906..946358:r
Tb927.10.3660	Tb927_10_v5.1:954068..954227:r	Tb927_10_v5.1:951647..952855:r
Tb927.10.3680	Tb927_10_v5.1:959375..959813:r	Tb927_10_v5.1:956795..958507:r
Tb927.10.3690	Tb927_10_v5.1:961419..961516:r	Tb927_10_v5.1:959903..960014:r
Tb927.10.3700	Tb927_10_v5.1:964853..965178:r	Tb927_10_v5.1:961653..963343:r
Tb927.10.3760	Tb927_10_v5.1:977794..977949:r	Tb927_10_v5.1:976565..976941:r
Tb927.10.3780	Tb927_10_v5.1:985107..985393:r	Tb927_10_v5.1:980725..982037:r
Tb927.10.3790	Tb927_10_v5.1:997836..998017:r	Tb927_10_v5.1:985520..986129:r
Tb927.10.3800	Tb927_10_v5.1:1001426..1001478:r	Tb927_10_v5.1:998124..998398:r
Tb927.10.3810	Tb927_10_v5.1:1003692..1003858:r	Tb927_10_v5.1:1001620..1001903:r
Tb927.10.3840	Tb927_10_v5.1:1012224..1012257:r	Tb927_10_v5.1:1011130..1011683:r
Tb927.10.3850	Tb927_10_v5.1:1014709..1014782:r	Tb927_10_v5.1:1012466..1012797:r
Tb927.10.3860	Tb927_10_v5.1:1016417..1016606:r	Tb927_10_v5.1:1014871..1015753:r
Tb927.10.3870	Tb927_10_v5.1:1024386..1024556:r	Tb927_10_v5.1:1016713..1017929:r
Tb927.10.3880	Tb927_10_v5.1:1027177..1027231:r	Tb927_10_v5.1:1024690..1024890:r
Tb927.10.3900	Tb927_10_v5.1:1035125..1035880:r	Tb927_10_v5.1:1030702..1032901:r
Tb927.10.3910	Tb927_10_v5.1:1038543..1038542:r	Tb927_10_v5.1:1036133..1037102:r
Tb927.10.3920	Tb927_10_v5.1:1042892..1042891:r	Tb927_10_v5.1:1039273..1041367:r
Tb927.10.3950	Tb927_10_v5.1:1046815..1046873:r	Tb927_10_v5.1:1045068..1045317:r
Tb927.10.3970	Tb927_10_v5.1:1052291..1052493:r	Tb927_10_v5.1:1049506..1050739:r
Tb927.10.3990	Tb927_10_v5.1:1057503..1057781:r	Tb927_10_v5.1:1053561..1056281:r
Tb927.10.4010	Tb927_10_v5.1:1061502..1061583:r	Tb927_10_v5.1:1059326..1059452:r
Tb927.10.4030	Tb927_10_v5.1:1063368..1063393:r	Tb927_10_v5.1:1061694..1062503:r
Tb927.10.4040	Tb927_10_v5.1:1064847..1065007:r	Tb927_10_v5.1:1063520..1063799:r
Tb927.10.4050	Tb927_10_v5.1:1070797..1070941:r	Tb927_10_v5.1:1065153..1069122:r
Tb927.10.4060	Tb927_10_v5.1:1072522..1072704:r	Tb927_10_v5.1:1071105..1071414:r
Tb927.10.4080	Tb927_10_v5.1:1078141..1078351:r	Tb927_10_v5.1:1074349..1074588:r
Tb927.10.4090	Tb927_10_v5.1:1079012..1079217:r	Tb927_10_v5.1:1078542..1078771:r
Tb927.10.4160	Tb927_10_v5.1:1090015..1090014:r	Tb927_10_v5.1:1088290..1088790:r
Tb927.10.4140	Tb927_10_v5.1:1086975..1087225:r	Tb927_10_v5.1:1086563..1086752:r
Tb927.10.4170	Tb927_10_v5.1:1098058..1098156:r	Tb927_10_v5.1:1090128..1090437:r
Tb927.10.4180	Tb927_10_v5.1:1100901..1101019:r	Tb927_10_v5.1:1098939..1100156:r
Tb927.10.4190	Tb927_10_v5.1:1104071..1104360	Tb927_10_v5.1:1104664..1105273
Tb927.10.4200	Tb927_10_v5.1:1105373..1105374	Tb927_10_v5.1:1107970..1108109
Tb927.10.4210	Tb927_10_v5.1:1108202..1108327	Tb927_10_v5.1:1109312..1109671
Tb927.10.4220	Tb927_10_v5.1:1109743..1109763	Tb927_10_v5.1:1110694..1110742
Tb927.10.4230	Tb927_10_v5.1:1110942..1110969	Tb927_10_v5.1:1111834..1111913
Tb927.10.4270	Tb927_10_v5.1:1115345..1115424	Tb927_10_v5.1:1115977..1116214
Tb927.10.4290	Tb927_10_v5.1:1117482..1117601	Tb927_10_v5.1:1118430..1118659
Tb927.10.4300	Tb927_10_v5.1:1118822..1118864	Tb927_10_v5.1:1120665..1120884
Tb927.10.4320	Tb927_10_v5.1:1122445..1122486	Tb927_10_v5.1:1124479..1125088
Tb927.10.4430	Tb927_10_v5.1:1143062..1143288:r	Tb927_10_v5.1:1138643..1141342:r
Tb927.10.4460	Tb927_10_v5.1:1147236..1147303:r	Tb927_10_v5.1:1146133..1146332:r
Tb927.10.4470	Tb927_10_v5.1:1150861..1150869:r	Tb927_10_v5.1:1147515..1147704:r
Tb927.10.4480	Tb927_10_v5.1:1152939..1153088:r	Tb927_10_v5.1:1150977..1151096:r
Tb927.10.4490	Tb927_10_v5.1:1156271..1156311:r	Tb927_10_v5.1:1153218..1153297:r
Tb927.10.4510	Tb927_10_v5.1:1159177..1159190:r	Tb927_10_v5.1:1157720..1158099:r
Tb927.10.4520	Tb927_10_v5.1:1161039..1161066:r	Tb927_10_v5.1:1159372..1159601:r
Tb927.10.4540	Tb927_10_v5.1:1162968..1162982:r	Tb927_10_v5.1:1162306..1162415:r
Tb927.10.4550	Tb927_10_v5.1:1163681..1163724:r	Tb927_10_v5.1:1163100..1163209:r
Tb927.10.4580	Tb927_10_v5.1:1171180..1171216:r	Tb927_10_v5.1:1169883..1170042:r
Tb927.10.4600	Tb927_10_v5.1:1174476..1174630:r	Tb927_10_v5.1:1172235..1173074:r
Tb927.10.4610	Tb927_10_v5.1:1175618..1175732:r	Tb927_10_v5.1:1174596..1174837:r
Tb927.10.4630	Tb927_10_v5.1:1177437..1177473:r	Tb927_10_v5.1:1176505..1176794:r
Tb927.10.4640	Tb927_10_v5.1:1179269..1179283:r	Tb927_10_v5.1:1177582..1177801:r
Tb927.10.4650	Tb927_10_v5.1:1181746..1181786:r	Tb927_10_v5.1:1179381..1179450:r
Tb927.10.4660	Tb927_10_v5.1:1182637..1182639:r	Tb927_10_v5.1:1181930..1182069:r
Tb927.10.4710	Tb927_10_v5.1:1188216..1188393:r	Tb927_10_v5.1:1187235..1187594:r
Tb927.10.4770	Tb927_10_v5.1:1199253..1199469:r	Tb927_10_v5.1:1197672..1197911:r
Tb927.10.4780	Tb927_10_v5.1:1202285..1202387:r	Tb927_10_v5.1:1199578..1200607:r
Tb927.10.4800	Tb927_10_v5.1:1206732..1206750:r	Tb927_10_v5.1:1204776..1204985:r
Tb927.10.4820	Tb927_10_v5.1:1209228..1209255:r	Tb927_10_v5.1:1207982..1208201:r
Tb927.10.4860	Tb927_10_v5.1:1214899..1214931:r	Tb927_10_v5.1:1213428..1213719:r
Tb927.10.4890	Tb927_10_v5.1:1220440..1220567:r	Tb927_10_v5.1:1218714..1219533:r
Tb927.10.4910	Tb927_10_v5.1:1225602..1225766:r	Tb927_10_v5.1:1222887..1223486:r
Tb927.10.4920	Tb927_10_v5.1:1227399..1227439:r	Tb927_10_v5.1:1225898..1226057:r
Tb927.10.4940	Tb927_10_v5.1:1230180..1230209:r	Tb927_10_v5.1:1228666..1228865:r
Tb927.10.4980	Tb927_10_v5.1:1237290..1237309	Tb927_10_v5.1:1238219..1238358
Tb927.10.5010	Tb927_10_v5.1:1240915..1240920	Tb927_10_v5.1:1243162..1243525
Tb927.10.5020	Tb927_10_v5.1:1245318..1245421	Tb927_10_v5.1:1246010..1246749
Tb927.10.5040	Tb927_10_v5.1:1247561..1247617	Tb927_10_v5.1:1248491..1248990
Tb927.10.5060	Tb927_10_v5.1:1249799..1249871	Tb927_10_v5.1:1250439..1250578
Tb927.10.5070	Tb927_10_v5.1:1250693..1250897	Tb927_10_v5.1:1251879..1252298
Tb927.10.5090	Tb927_10_v5.1:1254385..1254439	Tb927_10_v5.1:1254998..1257407
Tb927.10.5130	Tb927_10_v5.1:1259719..1259783	Tb927_10_v5.1:1260612..1260931
Tb927.10.5140	Tb927_10_v5.1:1261036..1261398	Tb927_10_v5.1:1262728..1265300
Tb927.10.5170	Tb927_10_v5.1:1275134..1275249	Tb927_10_v5.1:1278532..1279236
Tb927.10.5190	Tb927_10_v5.1:1283759..1284084	Tb927_10_v5.1:1285033..1287485
Tb927.10.5200	Tb927_10_v5.1:1287641..1287815	Tb927_10_v5.1:1289112..1289661
Tb927.10.5210	Tb927_10_v5.1:1290795..1290963	Tb927_10_v5.1:1292467..1292736
Tb927.10.5220	Tb927_10_v5.1:1292871..1292951	Tb927_10_v5.1:1294296..1294914
Tb927.10.5230	Tb927_10_v5.1:1295035..1295186	Tb927_10_v5.1:1296000..1296474
Tb927.10.5240	Tb927_10_v5.1:1296634..1297251	Tb927_10_v5.1:1302361..1303895
Tb927.10.5250	Tb927_10_v5.1:1304706..1305466	Tb927_10_v5.1:1307435..1313738
Tb927.10.5260	Tb927_10_v5.1:1313891..1313982	Tb927_10_v5.1:1317391..1318235
Tb927.10.5270	Tb927_10_v5.1:1318379..1318573	Tb927_10_v5.1:1319711..1320267
Tb927.10.5280	Tb927_10_v5.1:1320436..1320467	Tb927_10_v5.1:1323111..1323255
Tb927.10.5290	Tb927_10_v5.1:1323392..1323558	Tb927_10_v5.1:1324345..1324484
Tb927.10.5310	Tb927_10_v5.1:1325764..1326113	Tb927_10_v5.1:1328304..1330048
Tb927.10.5330	Tb927_10_v5.1:1333026..1333038	Tb927_10_v5.1:1333501..1333600
Tb927.10.5350	Tb927_10_v5.1:1334466..1334521	Tb927_10_v5.1:1346951..1347270
Tb927.10.5380	Tb927_10_v5.1:1350551..1350735	Tb927_10_v5.1:1354465..1355119
Tb927.10.5420	Tb927_10_v5.1:1362431..1362573	Tb927_10_v5.1:1366660..1367069
Tb927.10.5440	Tb927_10_v5.1:1368700..1368731	Tb927_10_v5.1:1370349..1370468
Tb927.10.5510	Tb927_10_v5.1:1382105..1382210	Tb927_10_v5.1:1383906..1385233
Tb927.10.5520	Tb927_10_v5.1:1385422..1385747	Tb927_10_v5.1:1386720..1387266
Tb927.10.5650	Tb927_10_v5.1:1409822..1409957	Tb927_10_v5.1:1410657..1411046
Tb927.10.5660	Tb927_10_v5.1:1411197..1411255	Tb927_10_v5.1:1412264..1412688
Tb927.10.5670	Tb927_10_v5.1:1412854..1413411	Tb927_10_v5.1:1415548..1415797
Tb927.10.5690	Tb927_10_v5.1:1418031..1418035	Tb927_10_v5.1:1419200..1419684
Tb927.10.5740	Tb927_10_v5.1:1425889..1426027:r	Tb927_10_v5.1:1424501..1425300:r
Tb927.10.5760	Tb927_10_v5.1:1429992..1430174:r	Tb927_10_v5.1:1427669..1429343:r
Tb927.10.5770	Tb927_10_v5.1:1433140..1433490:r	Tb927_10_v5.1:1430320..1430796:r
Tb927.10.5780	Tb927_10_v5.1:1436371..1436599:r	Tb927_10_v5.1:1433610..1434639:r
Tb927.10.5800	Tb927_10_v5.1:1439678..1439770:r	Tb927_10_v5.1:1438824..1439263:r
Tb927.10.5810	Tb927_10_v5.1:1442856..1443044:r	Tb927_10_v5.1:1439970..1441553:r
Tb927.10.5820	Tb927_10_v5.1:1446295..1446315:r	Tb927_10_v5.1:1443185..1443282:r
Tb927.10.5840	Tb927_10_v5.1:1449942..1449992:r	Tb927_10_v5.1:1448712..1449335:r
Tb927.10.5850	Tb927_10_v5.1:1465165..1465465:r	Tb927_10_v5.1:1450118..1450932:r
Tb927.10.5860	Tb927_10_v5.1:1466434..1466647:r	Tb927_10_v5.1:1465575..1466004:r
Tb927.10.5870	Tb927_10_v5.1:1469915..1469919:r	Tb927_10_v5.1:1466817..1468543:r
Tb927.10.5880	Tb927_10_v5.1:1474158..1474324:r	Tb927_10_v5.1:1470097..1472276:r
Tb927.10.5890	Tb927_10_v5.1:1477291..1477357:r	Tb927_10_v5.1:1474423..1474572:r
Tb927.10.5910	Tb927_10_v5.1:1482624..1482771:r	Tb927_10_v5.1:1479224..1480223:r
Tb927.10.5920	Tb927_10_v5.1:1485375..1485507:r	Tb927_10_v5.1:1482869..1482998:r
Tb927.10.5940	Tb927_10_v5.1:1490873..1490927:r	Tb927_10_v5.1:1488541..1489387:r
Tb927.10.5950	Tb927_10_v5.1:1493043..1493065:r	Tb927_10_v5.1:1491043..1491557:r
Tb927.10.5960	Tb927_10_v5.1:1497637..1497693:r	Tb927_10_v5.1:1493747..1496256:r
Tb927.10.5990	Tb927_10_v5.1:1505007..1505341:r	Tb927_10_v5.1:1503170..1503674:r
Tb927.10.6020	Tb927_10_v5.1:1517217..1517253:r	Tb927_10_v5.1:1516340..1516679:r
Tb927.10.6030	Tb927_10_v5.1:1518705..1518984:r	Tb927_10_v5.1:1517369..1517903:r
Tb927.10.6050	Tb927_10_v5.1:1526551..1527246:r	Tb927_10_v5.1:1519147..1521438:r
Tb927.10.6060	Tb927_10_v5.1:1531468..1531519:r	Tb927_10_v5.1:1529166..1530825:r
Tb927.10.6090	Tb927_10_v5.1:1537110..1537134:r	Tb927_10_v5.1:1534783..1535042:r
Tb927.10.6100	Tb927_10_v5.1:1538937..1539074:r	Tb927_10_v5.1:1537269..1537628:r
Tb927.10.6110	Tb927_10_v5.1:1541824..1541972:r	Tb927_10_v5.1:1539136..1539675:r
Tb927.10.6130	Tb927_10_v5.1:1546435..1546563:r	Tb927_10_v5.1:1543178..1545192:r
Tb927.10.6150	Tb927_10_v5.1:1558891..1559212:r	Tb927_10_v5.1:1548390..1549164:r
Tb927.10.6170	Tb927_10_v5.1:1566709..1566838:r	Tb927_10_v5.1:1562068..1562181:r
Tb927.10.6180	Tb927_10_v5.1:1569494..1569652:r	Tb927_10_v5.1:1566999..1567993:r
Tb927.10.6200	Tb927_10_v5.1:1572868..1572980:r	Tb927_10_v5.1:1571671..1572552:r
Tb927.10.6210	Tb927_10_v5.1:1575591..1575790:r	Tb927_10_v5.1:1573077..1573754:r
Tb927.10.6240	Tb927_10_v5.1:1584795..1584882:r	Tb927_10_v5.1:1582168..1583582:r
Tb927.10.6250	Tb927_10_v5.1:1586951..1587315:r	Tb927_10_v5.1:1584945..1585204:r
Tb927.10.6260	Tb927_10_v5.1:1589730..1589813:r	Tb927_10_v5.1:1587420..1587914:r
Tb927.10.6280	Tb927_10_v5.1:1591133..1591255:r	Tb927_10_v5.1:1589946..1590475:r
Tb927.10.6290	Tb927_10_v5.1:1593054..1593099:r	Tb927_10_v5.1:1591320..1591514:r
Tb927.10.6300	Tb927_10_v5.1:1594670..1594827:r	Tb927_10_v5.1:1593207..1593361:r
Tb927.10.6310	Tb927_10_v5.1:1597751..1597868:r	Tb927_10_v5.1:1594927..1595161:r
Tb927.10.6320	Tb927_10_v5.1:1600144..1600214:r	Tb927_10_v5.1:1598027..1598301:r
Tb927.10.6340	Tb927_10_v5.1:1608039..1608208:r	Tb927_10_v5.1:1606464..1606826:r
Tb927.10.6350	Tb927_10_v5.1:1610061..1610101:r	Tb927_10_v5.1:1608269..1608698:r
Tb927.10.6360	Tb927_10_v5.1:1612043..1612073:r	Tb927_10_v5.1:1610174..1610578:r
Tb927.10.6390	Tb927_10_v5.1:1615682..1615814:r	Tb927_10_v5.1:1614495..1614784:r
Tb927.10.6410	Tb927_10_v5.1:1623216..1623285:r	Tb927_10_v5.1:1619305..1620221:r
Tb927.10.6420	Tb927_10_v5.1:1628364..1628374:r	Tb927_10_v5.1:1626872..1627826:r
Tb927.10.6440	Tb927_10_v5.1:1635856..1635919	Tb927_10_v5.1:1636658..1636860
Tb927.10.6450	Tb927_10_v5.1:1636988..1637004	Tb927_10_v5.1:1637920..1637979
Tb927.10.6520	Tb927_10_v5.1:1649840..1649877	Tb927_10_v5.1:1651672..1652182
Tb927.10.6530	Tb927_10_v5.1:1652316..1652365	Tb927_10_v5.1:1653581..1653830
Tb927.10.6560	Tb927_10_v5.1:1659840..1659860	Tb927_10_v5.1:1661193..1661618
Tb927.10.6600	Tb927_10_v5.1:1672107..1672287	Tb927_10_v5.1:1673335..1673648
Tb927.10.6610	Tb927_10_v5.1:1673747..1674153	Tb927_10_v5.1:1674979..1675198
Tb927.10.6620	Tb927_10_v5.1:1675264..1675453	Tb927_10_v5.1:1676906..1678315
Tb927.10.6630	Tb927_10_v5.1:1678421..1678675	Tb927_10_v5.1:1680383..1680867
Tb927.10.6640	Tb927_10_v5.1:1680993..1681022	Tb927_10_v5.1:1681785..1682334
Tb927.10.6650	Tb927_10_v5.1:1683421..1683470	Tb927_10_v5.1:1684197..1684276
Tb927.10.6670	Tb927_10_v5.1:1685314..1685430	Tb927_10_v5.1:1685809..1686103
Tb927.10.6690	Tb927_10_v5.1:1689015..1689455	Tb927_10_v5.1:1690377..1690726
Tb927.10.6700	Tb927_10_v5.1:1690857..1691254	Tb927_10_v5.1:1692782..1693001
Tb927.10.6710	Tb927_10_v5.1:1693133..1693152	Tb927_10_v5.1:1694344..1694388
Tb927.10.6780	Tb927_10_v5.1:1707008..1707274	Tb927_10_v5.1:1709045..1709239
Tb927.10.6790	Tb927_10_v5.1:1709411..1709456	Tb927_10_v5.1:1714641..1714865
Tb927.10.6820	Tb927_10_v5.1:1718826..1718892	Tb927_10_v5.1:1719838..1720082
Tb927.10.6840	Tb927_10_v5.1:1722210..1722286	Tb927_10_v5.1:1723175..1723853
Tb927.10.6870	Tb927_10_v5.1:1727764..1727814	Tb927_10_v5.1:1728913..1729862
Tb927.10.6880	Tb927_10_v5.1:1730060..1730119	Tb927_10_v5.1:1731116..1731590
Tb927.10.6890	Tb927_10_v5.1:1732353..1733283	Tb927_10_v5.1:1733587..1734391
Tb927.10.6900	Tb927_10_v5.1:1734623..1734643	Tb927_10_v5.1:1736612..1738131
Tb927.10.6920	Tb927_10_v5.1:1740823..1740959	Tb927_10_v5.1:1741923..1742925
Tb927.10.6930	Tb927_10_v5.1:1743026..1743058	Tb927_10_v5.1:1746560..1746979
Tb927.10.6940	Tb927_10_v5.1:1747087..1747151	Tb927_10_v5.1:1749705..1749884
Tb927.10.6960	Tb927_10_v5.1:1755033..1755169	Tb927_10_v5.1:1756133..1756677
Tb927.10.6980	Tb927_10_v5.1:1761396..1761404	Tb927_10_v5.1:1761960..1762294
Tb927.10.6970	Tb927_10_v5.1:1756822..1756886	Tb927_10_v5.1:1759440..1759609
Tb927.10.7000	Tb927_10_v5.1:1764245..1764378	Tb927_10_v5.1:1765378..1765837
Tb927.10.7010	Tb927_10_v5.1:1765996..1766116	Tb927_10_v5.1:1767758..1767892
Tb927.10.7050	Tb927_10_v5.1:1774669..1774687	Tb927_10_v5.1:1776341..1776485
Tb927.10.7070	Tb927_10_v5.1:1780019..1780067	Tb927_10_v5.1:1780773..1780872
Tb927.10.7080	Tb927_10_v5.1:1780972..1781091	Tb927_10_v5.1:1783159..1783248
Tb927.10.7090	Tb927_10_v5.1:1783387..1783505	Tb927_10_v5.1:1784496..1787875
Tb927.10.7110	Tb927_10_v5.1:1790467..1790685	Tb927_10_v5.1:1792273..1793440
Tb927.10.7120	Tb927_10_v5.1:1793612..1793874	Tb927_10_v5.1:1794853..1795272
Tb927.10.7180	Tb927_10_v5.1:1808879..1808920:r	Tb927_10_v5.1:1804973..1805431:r
Tb927.10.7200	Tb927_10_v5.1:1813251..1813321:r	Tb927_10_v5.1:1810020..1810709:r
Tb927.10.7190	Tb927_10_v5.1:1809869..1809891:r	Tb927_10_v5.1:1809054..1809412:r
Tb927.10.7210	Tb927_10_v5.1:1815684..1815744:r	Tb927_10_v5.1:1814012..1814996:r
Tb927.10.7220	Tb927_10_v5.1:1817739..1817808:r	Tb927_10_v5.1:1815890..1816376:r
Tb927.10.7240	Tb927_10_v5.1:1829008..1829123:r	Tb927_10_v5.1:1826537..1826949:r
Tb927.10.7290	Tb927_10_v5.1:1841515..1841648:r	Tb927_10_v5.1:1836747..1838046:r
Tb927.10.7300	Tb927_10_v5.1:1844311..1844384:r	Tb927_10_v5.1:1841774..1844022:r
Tb927.10.7310	Tb927_10_v5.1:1848633..1848718:r	Tb927_10_v5.1:1845823..1846148:r
Tb927.10.7320	Tb927_10_v5.1:1850169..1850326:r	Tb927_10_v5.1:1848827..1849556:r
Tb927.10.7360	Tb927_10_v5.1:1860406..1860433:r	Tb927_10_v5.1:1858115..1858464:r
Tb927.10.7375	Tb927_10_v5.1:1864070..1864089:r	Tb927_10_v5.1:1863245..1863829:r
Tb927.10.7390	Tb927_10_v5.1:1866495..1866559:r	Tb927_10_v5.1:1865947..1866161:r
Tb927.10.7400	Tb927_10_v5.1:1868552..1868709:r	Tb927_10_v5.1:1866694..1866988:r
Tb927.10.7420	Tb927_10_v5.1:1873338..1873526:r	Tb927_10_v5.1:1871418..1872662:r
Tb927.10.7430	Tb927_10_v5.1:1875190..1875236:r	Tb927_10_v5.1:1873641..1873770:r
Tb927.10.7440	Tb927_10_v5.1:1878352..1878378:r	Tb927_10_v5.1:1875385..1875498:r
Tb927.10.7450	Tb927_10_v5.1:1879333..1879374:r	Tb927_10_v5.1:1878490..1878573:r
Tb927.10.7460	Tb927_10_v5.1:1879987..1880158:r	Tb927_10_v5.1:1879489..1879557:r
Tb927.10.7470	Tb927_10_v5.1:1880743..1880768:r	Tb927_10_v5.1:1880245..1880388:r
Tb927.10.7480	Tb927_10_v5.1:1882071..1882120:r	Tb927_10_v5.1:1880895..1881479:r
Tb927.10.7490	Tb927_10_v5.1:1884412..1884434:r	Tb927_10_v5.1:1882247..1882281:r
Tb927.10.7500	Tb927_10_v5.1:1885638..1885648:r	Tb927_10_v5.1:1884544..1884734:r
Tb927.10.7540	Tb927_10_v5.1:1898626..1898767:r	Tb927_10_v5.1:1893987..1895676:r
Tb927.10.7560	Tb927_10_v5.1:1902649..1902676:r	Tb927_10_v5.1:1901660..1901793:r
Tb927.10.7570	Tb927_10_v5.1:1904844..1904881:r	Tb927_10_v5.1:1902764..1903487:r
Tb927.10.7580	Tb927_10_v5.1:1908939..1908949:r	Tb927_10_v5.1:1905009..1905905:r
Tb927.10.7590	Tb927_10_v5.1:1910131..1910224:r	Tb927_10_v5.1:1909068..1909290:r
Tb927.10.7600	Tb927_10_v5.1:1911921..1911938:r	Tb927_10_v5.1:1910352..1910822:r
Tb927.10.7620	Tb927_10_v5.1:1919817..1919922:r	Tb927_10_v5.1:1917258..1917842:r
Tb927.10.7670	Tb927_10_v5.1:1931414..1931501:r	Tb927_10_v5.1:1930118..1930684:r
Tb927.10.7680	Tb927_10_v5.1:1934203..1934208:r	Tb927_10_v5.1:1932407..1932609:r
Tb927.10.7690	Tb927_10_v5.1:1936902..1936941:r	Tb927_10_v5.1:1934380..1934726:r
Tb927.10.7700	Tb927_10_v5.1:1940595..1940663:r	Tb927_10_v5.1:1937055..1938587:r
Tb927.10.7710	Tb927_10_v5.1:1941960..1942071:r	Tb927_10_v5.1:1940795..1941176:r
Tb927.10.7720	Tb927_10_v5.1:1942868..1942954:r	Tb927_10_v5.1:1942190..1942471:r
Tb927.10.7760	Tb927_10_v5.1:1950015..1950080:r	Tb927_10_v5.1:1949218..1949420:r
Tb927.10.7780	Tb927_10_v5.1:1953322..1953338:r	Tb927_10_v5.1:1952145..1952268:r
Tb927.10.7790	Tb927_10_v5.1:1954504..1954696:r	Tb927_10_v5.1:1953439..1953582:r
Tb927.10.7820	Tb927_10_v5.1:1959763..1959812:r	Tb927_10_v5.1:1959107..1959339:r
Tb927.10.7830	Tb927_10_v5.1:1961714..1961730:r	Tb927_10_v5.1:1959939..1960186:r
Tb927.10.7840	Tb927_10_v5.1:1962833..1962948:r	Tb927_10_v5.1:1961862..1961935:r
Tb927.10.7860	Tb927_10_v5.1:1966466..1966520:r	Tb927_10_v5.1:1964256..1965814:r
Tb927.10.7880	Tb927_10_v5.1:1970260..1970312:r	Tb927_10_v5.1:1968007..1968303:r
Tb927.10.7890	Tb927_10_v5.1:1975190..1975246:r	Tb927_10_v5.1:1970478..1972999:r
Tb927.10.7900	Tb927_10_v5.1:1977445..1977612:r	Tb927_10_v5.1:1975395..1976286:r
Tb927.10.7940	Tb927_10_v5.1:1984329..1984358:r	Tb927_10_v5.1:1983117..1983215:r
Tb927.10.7960	Tb927_10_v5.1:1985571..1985704:r	Tb927_10_v5.1:1984464..1985102:r
Tb927.10.7970	Tb927_10_v5.1:1987147..1987255:r	Tb927_10_v5.1:1985799..1986045:r
Tb927.10.7985	Tb927_10_v5.1:1989372..1989489:r	Tb927_10_v5.1:1989018..1989176:r
Tb927.10.8000	Tb927_10_v5.1:1995915..1995950:r	Tb927_10_v5.1:1991828..1991924:r
Tb927.10.8010	Tb927_10_v5.1:1996912..1996913:r	Tb927_10_v5.1:1996053..1996176:r
Tb927.10.8030	Tb927_10_v5.1:2001662..2001679:r	Tb927_10_v5.1:2000339..2000893:r
Tb927.10.8050	Tb927_10_v5.1:2008744..2008878:r	Tb927_10_v5.1:2004711..2007942:r
Tb927.10.8060	Tb927_10_v5.1:2010717..2010874:r	Tb927_10_v5.1:2008986..2009342:r
Tb927.10.8110	Tb927_10_v5.1:2019549..2019609:r	Tb927_10_v5.1:2017737..2018723:r
Tb927.10.8100	Tb927_10_v5.1:2017543..2017614:r	Tb927_10_v5.1:2016275..2016477:r
